Series Name,Series Code,Country Name,Country Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018]
"Air transport, passengers carried",IS.AIR.PSGR,Germany,DEU,..,..,..,..,..,..,..,..,..,..,6498000,7029200,7919100,7371300,8886900,9369200,10418600,10907500,11709800,12843900,13046400,12964400,12755000,13099900,14051800,14551300,15174000,17011400,17894900,19056900,22146900,24829500,27577800,29362600,32465300,34680100,40118400,45804500,49279800,54652800,57962865,56389365,61889678,72693124,82099657,90788848,99647314,106101747,107941584,103396735,97330734.2807591,107042775.791182,105978474.526384,109062321.51578,112353098.59355,117222850,116713587,116847033,..
"Air transport, passengers carried",IS.AIR.PSGR,India,IND,..,..,..,..,..,..,..,..,..,..,2671600,2554000,3285800,3391600,3037300,3839900,4534000,5147500,6099600,6546800,6603100,7574500,8391700,9164800,10125700,10993800,11785200,12668600,12863100,12740100,10862200,10717400,11127100,9441600,11518400,14260600,13394600,16039800,16521000,16005400,17299483,16862737,17633019,19455085,23934074,27879461,40288794,51897450,49877935,54446373,64374253.8038964,73996912,72151828.8895485,75589071,82718882.88,98927860,119577835,139822450,..
"Air transport, passengers carried",IS.AIR.PSGR,Indonesia,IDN,..,..,..,..,..,..,..,..,..,..,826400,994500,1286800,1787400,2219700,2527500,3103200,3781300,4431100,4656100,5059100,6098100,6028700,5567500,6494300,6468100,7115400,7568900,8823700,8983400,9223100,10401800,11176800,12009000,13924500,15977200,17138800,12650200,12613600,8046800,9916365,12453812,12113452,12221066,26780550,26835524,29867483,30405918,29766093,27421235,59384361.605798,70912258.1090481,79405799.80957,81721356,85215879.5097387,90095131,99274010,110252913,..
"Air transport, passengers carried",IS.AIR.PSGR,Japan,JPN,..,..,..,..,..,..,..,..,..,..,16315100,17880500,20169500,25393100,27485700,27281400,29566000,36177400,40554700,45367800,45144500,48061200,46394200,46554000,50452800,51294700,52489800,57757700,62087500,69321696,76223800,78719800,81378400,80063904,83913504,91797000,95913504,94997600,101701200,105994496,109123312,107823469,109037841,103988547,101740600,102279015,102845319,99842338,97022471,86896527,109617020.965748,89788818,98907859,107573000,110547000,114128000,117708000,123898000,..
"Air transport, passengers carried",IS.AIR.PSGR,Italy,ITA,..,..,..,..,..,..,..,..,..,..,6743700,7644100,7462200,8189900,8631400,8360600,8238100,9424100,9507000,9462500,9955800,10493300,11611000,11996600,12593600,14408000,13811100,15268100,15649200,17437700,19750000,18846800,21766700,21901400,22959300,23665800,25838500,28183900,27462700,28281000,30418137,31031074,28244627,36345771,35922093,36115764,36709131,37830745,30672048,33194501,32645164,33923370.5051058,31072962.155732,27846220,27193939,28603919,29120041,27836417,..
"Air transport, passengers carried",IS.AIR.PSGR,Malaysia,MYS,..,..,..,..,..,..,..,..,..,..,748900,875100,1015600,1864400,2331900,2503600,2671000,2864700,3096000,3489500,4516400,5347700,5241700,5360900,5685400,5687000,6310500,7396100,7683600,8694600,10241500,11837400,12756900,13101300,14249800,15417800,15117600,15591600,13654400,14984600,16560793,16107156,16281275,16704600,19226564,20369086,17833364,21325754,22420870,23766316,34239014.1725209,38218608.8523534,39165195.2176778,47995842.0041797,49673884,50345820,53817353,58188823,..
"Air transport, passengers carried",IS.AIR.PSGR,Mexico,MEX,..,..,..,..,..,..,..,..,..,..,2966600,3107300,3962000,4589600,5501500,6522900,7675700,8238200,9387700,11381500,12889800,13853300,12777300,13923500,14440200,15364400,13824500,13504900,11412300,12689000,14341300,14901000,15532200,16484800,18791400,14968800,14677700,17266500,17717400,20561100,20894205,20172824,19618662,20661206,21167881,21857658,21243010,20952513,18825976,15728171,31269061,29538937,32909408.724554,35986501.817,39570522,46966763,53313307,58536878,..
"Air transport, passengers carried",IS.AIR.PSGR,Philippines,PHL,..,..,..,..,..,..,..,..,..,..,2369000,2070900,2123900,2349600,2525100,2758400,2815700,3021100,3411600,3474900,3245600,3542700,3866900,4319800,4394000,4610400,4879600,5247300,5719500,5715200,5638700,5438100,6136500,6526200,6851500,7179600,7263100,7474600,6731600,5024000,5756288,6416383,6449022,6457529,7387965,8056829,8304634,8818150,9508389,10480898,22575356,26326620.7628322,28540727.3608103,25540880,34897404,37023422,40206684,44087368,..
"Air transport, passengers carried",IS.AIR.PSGR,United States,USA,..,..,..,..,..,..,..,..,..,..,163448992,174143104,191325408,202309200,207612400,204900400,223017296,240144992,273025504,313624000,295329088,281086400,290992608,315600096,340191488,372059104,414554496,441832704,454202912,453161504,464574016,452015904,466964992,469926112,514924000,533512096,571072000,590571392,588170880,634364608,665327414,622187846,598410415,588997110,678110608,720547738,725530965,744302310,701779551,679423408,720497000,730796000,736699000,743171000,762710000,798222000,824039000,849403000,..
"Air transport, passengers carried",IS.AIR.PSGR,United Kingdom,GBR,..,..,..,..,..,..,..,..,..,..,15568800,15796000,17308500,18959700,18062600,18074900,19472900,19484500,23186100,25312100,25551200,24578700,23872500,23376200,25825700,28229400,29373100,33705300,37573100,46354400,47113600,42861200,47819400,50187900,55475500,59688800,64208500,62763200,61940200,65738296,70436030,70331725,72381196,76388660,86054762,93602879,97544631,101622807,104713553,102464509,101515720.193399,111598546.141229,115419920.565667,118605866,124901676.052681,131512994,143781714,151867276,..
